name,par,href,summary,goals,prerequisites
A* search,Symbolic AI,https://metacademy.org/graphs/concepts/a_star_search,"A* search is a search algorithm which makes use of a heuristic which estimates the distance from a node to a goal state. It iteratively expands nodes in order by their path cost plus their heuristic value. If the heuristic satisfies certain ""admissibility"" conditions, then A* is guaranteed to find an optimal path.","Know some terminology: evaluation function, heuristic function. Know what A* search uses as its evaluation function. What is an admissible heuristic?. Show that A* search with an admissible heuristic finds an optimal solution. Give an example where it finds a suboptimal solution when the heuristic is inadmissible. Give some examples of admissible heuristics. If possible, explain how they can be interpreted in terms of loosening problem constraints.. How does A* behave if the heuristic returns the exact distance to the goal? If it always returns zero?. What does it mean for an admissible heuristic A to dominate another admissible heuristic B, and why should A be preferred in this case?","search problems,uninformed search"
abstract data types,"Data Structures & Algorithms,Programming",https://metacademy.org/graphs/concepts/abstract_data_types,"An abstract data type is a specification of the behavior of a data type (often a class) without reference to its underlying implementation. Data abstraction is one of the fundamental principles of software engineering, since it facilitates the decomposition of a problem into independent chunks and allows the implementation of the data type to change without breaking the client code.","Understand the benefits of data abstraction:\nthat one need not understand how the data type is implemented in order to use it\nit gives more flexibility for changing the implementation, so long as it obeys the specification\nthat the user can replace one implementation with another if it proves to be more effective. In a programming language such as Java, C++, or Python, understand how the specifications of the standard container types abstract away the implementation. Be able to implement an abstract data type that meets a specification. Be able to design a specification of an ADT based on the anticipated needs of the user (e.g. what should be included in the specification and what should be left to the implementation?)","specifications (programming),classes (programming)"
AdaBoost,Machine Learning,https://metacademy.org/graphs/concepts/ada_boost,"AdaBoost is an example of a boosting algorithm, where the goal is to take a ""weak classifier"" (one which performs slightly above chance) and make it into a ""strong classifier"" (one which performs well on the training set). It is widely used in data mining, especially in conjunction with decision trees, because of its simplicity and effectiveness.","Understand the steps in the AdaBoost algorithm. Be aware of the underlying motivation, namely taking a ""weak classifier"" which performs slightly above chance, and producing a ""strong classifier,"" which classifies the whole training set correctly.",
adaptive rejection sampling,Probabilistic Graphical Models,https://metacademy.org/graphs/concepts/adaptive_rejection_sampling,"Adaptive rejection sampling (ARS) is a technique used to automatically choose and refine an envelope distribution, q(z), for rejection sampling of distribution p(z). ARS initially forms an envelope distribution, q(z), as a piecewise combination of intersecting line segments that outline p(z). These line segments are the tangents of log(p(z)) evaluated along a set of initial grid points and are guaranteed to enclose p(z) if p(z) is log-concave (the derivative of log(p(z)) is nonincreasing) -- this property holds for a large number of distributions. ARS then proceeds like rejection sampling, though if a sampled point is rejected at point x* then the tangent of log(p(x*)) is added to the envelope distributions, which shrinks the proposal distribution around the true distribution and leads to fewer rejected samples later on.",Be able to implement the adaptive rejection sampling algorithm.. What is the advantage compared to standard rejection sampling?,"rejection sampling,exponential distribution"
Akaike information criterion,Machine Learning,https://metacademy.org/graphs/concepts/akaike_information_criterion,"The Akaike Information Criterion (AIC) is a frequentist model selection criterion typically used to regularize maximum likelihood estimators. The AIC provides a relative estimate of the quality of the tested models (so it is necessary to report the AIC differences between models), but the AIC will not indicate if all tested models poorly describe the data. The quality score is a relative estimate of the kl-divergence between the given model and the true model.",Know the definition of the AIC.. How is the AIC justified in terms of performance on held-out data?,"maximum likelihood,generalization"
alpha-beta pruning,Symbolic AI,https://metacademy.org/graphs/concepts/alpha_beta_pruning,Alpha-beta pruning is a method for improving the efficiency of minimax search by pruning out branches which can't possibly be played by optimal players. It works by maintaining the best value either player would be able to achieve by playing a move which does not lead to the current part of the search tree. A branch of the search tree can be pruned if its value is determined to be outside the range of these values.,"What are the values alpha and beta maintained by the alpha-beta pruning procedure?. When is a subtree pruned, and how do we know it's safe to prune the subtree?. Why is it advantageous to explore the (seemingly) best move first at each node?",minimax search
analyzing recursive algorithms,"Data Structures & Algorithms,Programming",https://metacademy.org/graphs/concepts/analyzing_recursive_algorithms,"Many important algorithms, such as binary search and merge sort, are most simply described in terms of a recursive procedure. Analyzing the running time of such algorithms requires solving recurrence equations. There are tricks for solving or analyzing these equations, including the Master Theorem, which covers most of the common cases.","Be able to write down the recurrence equation which gives the running time of a recursive algorithm. Be able to solve some common kinds of recurrences, or at least give bounds on their solutions. Know the statement of the Master Theorem","asymptotic complexity,recursion (programming)"
annealed importance sampling,"Machine Learning,Probabilistic Graphical Models",https://metacademy.org/graphs/concepts/annealed_importance_sampling,"Annealed importance sampling (AIS) is a Monte Carlo algorithm based on sampling from a sequence of distributions which interpolate between a tractable initial distribution and the intractable target distribution. It returns a set of weighted samples, and in the limit of infinitely many intermediate distributions, the variance of the weights approahces zero. The most common use is in estimating partition functions.",Know the steps the AIS algorithm.. Know how to obtain weighted samples and estimates of the partition function from the algorithm's outputs.. Show that the variance of the weights approaches zero in the limit of infinitely many intermediate distributions (assuming the transition operator returns perfect samples).,"Markov chain Monte Carlo,importance sampling,inference in MRFs,Central Limit Theorem"
arc consistency,Symbolic AI,https://metacademy.org/graphs/concepts/arc_consistency,"Arc consistency is a heuristic for pruning out possible values for the variables in a CSP which cannot possibly be part of a consistent solution. The set of values for all variables is arc consistent if for each value d of a variable X, and each neighbor Y of X, there is some value of Y which is consistent with d (in terms of the constraint between X and Y). The AC3 procedure iteratively removes values until the graph is arc consistent.",Know what it means for the domains of the variables in a CSP to be arc consistent. Know how the AC3 algorithm enforces arc consistency. Analyze the running time of AC3. What is the tradeoff between using AC3 versus simple forward checking as part of the backtracking procedure?,"constraint satisfaction problems,queue,asymptotic complexity"
asymptotic complexity,Data Structures & Algorithms,https://metacademy.org/graphs/concepts/asymptotic_complexity,"The asymptotic (time) complexity of an algorithm refers to the scaling of the running time of an algorithm as a function of the input size. The time complexity is typically given in terms of big-O notation, where the running time is bounded up to a multiplicative constant.","Know the precise definitions of big-O, big-Theta, and big-Omega notations. Be able to analyze the asymptotic complexity of simple algorithms. Be aware of the distinction between average case and worst case complexity",
